Abordagem,Tipo,Configuração,Precisão,Recall,F1 micro,IC95% inferior,IC95% superior,F1 macro,TP,FP,FN,Tempo treino (s),Tamanho (MB)
CRF,Modelo estatístico sequencial,c1=0.01; c2=0.01,0.9807692307692307,0.9329268292682927,0.95625,0.9397571237330272,0.9717686678746268,0.9605178436531959,306,6,22,0.1497439590166323,0.1837615966796875
spaCy NER,Modelo neural leve,epochs=14; dropout=0.10; seed=42,0.940625,0.9176829268292683,0.9290123456790124,0.9033203661384887,0.9517727261397343,0.9123851875361533,301,19,27,7.1428908329689875,3.684340476989746
Regras,Baseline não treinada,listas + expressões regulares,0.982532751091703,0.6859756097560976,0.8078994614003591,0.7679972076788832,0.8434520035119382,0.8502200695463771,225,4,103,,
