dropout,seed,melhor_época,épocas_executadas,Precisão,Recall,F1,Tempo (s)
0.1,42,14,19,0.9202898550724637,0.8943661971830986,0.9071428571428571,9.348226375004742
0.1,43,19,24,0.9084507042253521,0.9084507042253521,0.9084507042253521,11.29130833299132
0.1,44,10,15,0.9191176470588235,0.8802816901408451,0.8992805755395683,7.085239499981981
0.2,42,15,20,0.9117647058823529,0.8732394366197183,0.8920863309352517,9.18783412501216
0.2,43,18,23,0.9124087591240876,0.8802816901408451,0.8960573476702509,10.635180916986428
0.2,44,9,14,0.8947368421052632,0.8380281690140845,0.8654545454545454,6.658345083007589
